route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
21,hjun2501-Weekday-4-JU2025-1111100,4227124,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227125,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227126,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227127,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227128,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227129,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227130,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227131,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227132,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227133,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227134,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227135,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227136,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227143,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227144,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227145,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227146,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227147,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227148,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227149,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227150,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227151,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227152,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227153,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227154,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227155,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227156,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227157,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227158,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227159,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227160,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227161,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227162,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227163,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227164,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227165,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227166,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227167,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227168,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227169,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227170,"CCRI Warwick via Reservoir Ave",1,457725,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227171,"CCRI Warwick via Reservoir Ave",1,457726,210040,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227172,"CCRI Warwick via Reservoir Ave",1,457727,210040,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227173,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227174,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227175,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227177,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227178,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227179,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227180,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227181,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227182,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227183,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227184,"CCRI Warwick via Pontiac Ave",1,457730,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227185,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227186,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227187,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227188,"CCRI Warwick via Pontiac Ave",1,457729,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227189,"CCRI Warwick via Pontiac Ave",1,457745,220046,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227190,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227191,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227192,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227193,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227194,"Kennedy Plaza via Pontiac Ave",0,457745,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227195,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227196,"Kennedy Plaza via Pontiac Ave",0,457729,220056,0,
22,hjun2501-Weekday-4-JU2025-1111100,4227197,"Kennedy Plaza via Pontiac Ave",0,457730,220056,0,
